name,team,cmppct,tdpct,intpct,skpct,pacr,adjepacpoe,epaatt,anyatt,passrtg,year,mvp
Ben Roethlisberger,PIT,65.97633136,5.473372781,2.071005917,1.886792453,0.899477534,0.090076912,0.09325301,6.235123367,93.20759369,2020,0
Philip Rivers,IND,67.23259762,4.41426146,1.867572156,3.125,1.057378985,0.132841128,0.200494716,7.212171053,96.72113752,2020,0
Alex Smith,WAS,66.66666667,2.380952381,3.174603175,8.02919708,1.230171073,0.022235536,-0.129713766,4.390510949,78.50529101,2020,0
Aaron Rodgers,GB,70.16393443,8.68852459,0.983606557,3.937007874,1.029375,0.212490485,0.346629623,8.688188976,119.1666667,2020,1
Ryan Fitzpatrick,MIA,68.53932584,4.868913858,2.996254682,4.982206406,1.009169884,0.15535753,0.174483963,6.854092527,95.5758427,2020,0
Matt Ryan,ATL,65.01597444,4.153354633,1.757188498,6.146926537,0.857543991,0.105738159,0.109282576,6.52023988,93.27742279,2020,0
Joe Flacco,NYJ,55.2238806,4.47761194,2.23880597,4.964539007,0.606315789,0.040602101,-0.06839621,5.531914894,80.5659204,2020,0
Matthew Stafford,DET,64.20454545,4.924242424,1.893939394,6.713780919,0.886092428,0.106004871,0.105770641,6.890459364,96.33838384,2020,0
Cam Newton,NE,65.76086957,2.173913043,2.717391304,7.769423559,1.064503205,0.062680655,-0.012337062,5.443609023,82.89175725,2020,0
Andy Dalton,DAL,64.86486486,4.204204204,2.402402402,6.722689076,0.952589991,0.056790387,-0.033636246,5.338935574,87.29354354,2020,0
Russell Wilson,SEA,67.52136752,7.179487179,2.393162393,8.163265306,0.843299366,0.137013009,0.10725415,6.692307692,103.5505698,2020,0
Nick Foles,CHI,64.74358974,3.205128205,2.564102564,5.454545455,0.740207834,0.043282479,-0.107869114,4.687878788,80.76923077,2020,0
Kirk Cousins,MIN,67.63565891,6.782945736,2.519379845,7.027027027,1.039483305,0.150221024,0.17769268,7.430630631,104.998385,2020,0
Ryan Tannehill,TEN,65.68047337,6.903353057,1.57790927,4.69924812,0.945868946,0.180304544,0.247888344,7.789473684,105.9952334,2020,0
Mike Glennon,JAX,62.01117318,3.910614525,2.793296089,4.787234043,0.752808989,0.005525766,-0.099435157,4.968085106,80.1094041,2020,0
Teddy Bridgewater,CAR,69.10569106,3.048780488,2.235772358,5.927342256,1.063229849,0.11334945,0.068113674,6.372848948,92.13245257,2020,0
Derek Carr,LV,67.31141199,5.222437137,1.740812379,4.788213628,0.980640535,0.138157211,0.116298544,7.52854512,101.3982914,2020,0
